NUM,LINEA,MAQUINA,COMPONENTE,CONDICION_FALLA,ACCION_INMEDIATA,MAQUINA_1,CAUSA,Minutos_TM,FECHA,SEMANA,RESPONSABLE,TURNO,Aplica
29,L1_CS,HOT SET,Conveyor,Rodillos dañados en Hot Set y resbaladilla de entrada de Shot Peener,Se realizo cambio de 2 rodillos dañados. Se cambiaron 8 tornillos vencidos con arandelas y resortes. Se cambio resbaladilla por dañarse.,CS1 HOT SET,Ajuste de alturas,106,06/01/2016,1,AIM,1 Primero,SI
30,L2_CS,COILING FMB46,Forma Inferior,Se apaga hidraulico,"Se reinicia máquina en diversas ocasiones, se limpian fusibles y conectores dejando máquina trabajando",CS2 COILING FMB46,¿Parámetros?,81,06/01/2016,1,AIM,1 Primero,SI
31,L2_CS,COILING FMB46,Forma Inferior,Se apaga hidraulico,"Error de SERCOS, se restablece máquina",CS2 COILING FMB46,¿Parámetros?,20,06/01/2016,1,AIM,1 Primero,SI
32,L2_CS,HOT SET,Conveyor,Resortes atorados en placa de posicionamiento,Se daña gripper por chocar con los resortes atorados,CS2 HOT SET,En coiling no ajustan la posición del resorte y el robot los acomoda en mala posición en el horno. Después el siguiente robot los toma y deja en mala posición y es donde se atoran.,20,06/01/2016,1,AIM,1 Primero,SI
33,L2_CS,ROBOT 4,Colisión,Colisión por resorte atorado en dedo de Shot Peener,Se elimina resorte la falla y se amnda a posición,CS2 ROBOT 4,,15,06/01/2016,1,AIM,1 Primero,SI
34,L1_CS,COLDSET,Leva,Tornillo doblado,Se cambia tornillo,CS1 COLDSET,,8,06/01/2016,1,JDEM,2 Segundo,SI
35,L2_CS,COILING FMB46,Forma superior,Pierde referencia encoder,SE DA REFERENCIA A encoder desde drive,CS2 COILING FMB46,,70,06/01/2016,1,JDEM,2 Segundo,SI
36,L2_CS,STRESS RELIEF OVEN,Charolas,Charola dañada,Se endereza charola,CS2 STRESS RELIEF OVEN,,18,06/01/2016,1,JDEM,2 Segundo,SI
37,L1_DL,SHOT PEENER,Conos,Fuga de granalla,Se pega neopreno en juntas de cono para tapar fuga,DL SHOT PEENER,,45,06/01/2016,1,JDEM,2 Segundo,SI
38,L1_CS,SHOT PEENER,Se bota tornillo sin fin,Se bota tornillo sin fin,Se mueve tornillo manualmente para liberar exceso de granalla,CS1 SHOT PEENER,,21,06/01/2016,1,JDEM,2 Segundo,SI
39,L1_CS,SHOT PEENER,Cadena de Arrastre,Se atora resorte,Se libera resorte atorado,CS1 SHOT PEENER,,10,06/01/2016,1,JDEM,2 Segundo,SI
40,L2_CS,COILING FMB46,Forma superior eje Y,Pierde referencia el eje,Se desmonta motor para hacerle nuevo zero al eje. ,CS2 COILING FMB46,,100,06/01/2016,1,JDEM,2 Segundo,SI
41,L1_CS,SHOT PEENER,Dispositivo de salida,Se alarma red ASi. Se atora resorte en dedo de arrastre (pistón),Se resetea profibus de ASi. Se realizan movimientos en manual para desatorar resorte.,CS1 SHOT PEENER,,14,06/01/2016,1,AIM,1 Primero,SI
42,L1_CS,COLDSET,pisador,se capa tornillería en  base de pisador,se extraen tornillos capados. Se instala tornilleria nueva y se reaprieta en ambos pisadores,CS1 COLDSET,,25,06/01/2016,1,AIM,1 Primero,SI
43,L2_CS,ROBOT 3,Gripper,Colisiona robot y se daña gripper,Cambio de tornillos capados en base de gripper,CS2 ROBOT 3,,10,06/01/2016,1,AIM,1 Primero,SI
44,L2_CS,ROBOT 4,Gripper,Colisiones constantes ,Se resetean fallas y se mandan a Home,CS2 ROBOT 4,,10,06/01/2016,1,AIM,1 Primero,SI
45,LT1,LOAD TEST,Transfer,Falla de pinza,Se ajusta sensor magnético en pinza inferior,LT1 LOAD TEST,,20,06/01/2016,1,AIM,1 Primero,SI
46,LT1,LOAD TEST,Transfer,No se activan los transfer,"Se encuentra un relevador del transfer 2 sin cerrarse el contacto normalmente cerrado, esto mandaba error en el ASi Monitor. El monitor no le mandaba 24 volts a la tarjeta de alimentación para las salidas del PLC y por eso no se activaba el LED de Power.",LT1 LOAD TEST,,141,06/01/2016,1,AIM,1 Primero,SI
47,L2_CS,COILING FMB46,Hidráulico,Falla Hidráulico,Se resetea drive por perdida de señal del encoder.,CS2 COILING FMB46,,10,07/01/2016,1,JAM,3 Tercero,SI
48,LT1,LOAD TEST,Conveyor,Rodillos dañados en conveyor.,"Se reemplazan tornillos, 8 rodillos y demas piezas quebradas.",LT1 LOAD TEST,,10,07/01/2016,1,JAM,3 Tercero,SI
49,L2_CS,HOT SET,Pisador,Se capan tornillos en base del pisador,"Se sacan tornillos capados, se alinean y se machuelean barrenos",CS2 HOT SET,,53,07/01/2016,1,AIM,1 Primero,SI
50,L2_CS,HOT SET,Conveyor,se dañan 4 charolas,se reparan charolas,CS2 HOT SET,plato de preset se desmonta y daña charoals,50,07/01/2016,1,AIM,1 Primero,SI
51,L2_CS,HOT SET,Conveyor,Levas fuera de posición,Se ajustan los tornillos de los rodillos,CS2 HOT SET,Tornillos en diferentes alturas,20,07/01/2016,1,AIM,1 Primero,SI
52,L2_CS,SHOT PEENER,Cadena de Arrastre,Resorte atorado en dedo,Se regresa cadena para liberar resorte y se saca,CS2 SHOT PEENER,,10,07/01/2016,1,AIM,1 Primero,SI
53,L2_CS,HOT SET,Conveyor,Levas fuera de posición,Se ajusta altura de tornillo por no alcanzar sensor.,CS2 HOT SET,,15,07/01/2016,1,AIM,1 Primero,SI
54,L2_CS,ROBOT 1,Servomotor,Freno se patine,Se cambia servomotor y se ajusta posición,CS2 ROBOT 1,,95,07/01/2016,1,AIM,1 Primero,SI
55,L2_CS,COILING FMB46,Pedal,No funciona pedal,Se cambia cable del pedal,CS2 COILING FMB46,,12,07/01/2016,1,AIM,1 Primero,NO
56,L2_CS,GENERAL,Grúa,Falla grúa,Se cambia contol del cable de la botonera,CS2 GENERAL,,24,07/01/2016,1,AIM,1 Primero,SI
57,L2_CS,DECOILER,Decoiler,Falla decoiler,Falla decoiler porque se encuentra válvula de alimentación cerrada,CS2 DECOILER,Válvula cerrada,11,08/01/2016,1,AIM,1 Primero,SI
58,L2_CS,FINE PEENER,Cadena de arrastre,Se atora resorte en cadena fine peener y se rompe cadena,"Se encuentra eslabón de cadena reventado, se cambian 2 pasos de cadena y se liberan resortes atorados",CS2 FINE PEENER,Resortes atorados y desgaste de la cadena,205,08/01/2016,1,AIM,1 Primero,SI
59,L2_CS,ROBOT 2,Gripper,Se cae gripper,Se cae gripper por tornillería capada,CS2 ROBOT 2,,18,08/01/2016,1,AIM,1 Primero,SI
60,L2_CS,STRESS RELIEF OVEN,Conveyor,Charola dañada,Se endereza charola,CS2 STRESS RELIEF OVEN,,10,08/01/2016,1,JDEM,2 Segundo,SI
61,L2_CS,ROBOT 2,Gripper,Tornillos capados,Se cambia tornilleria y se coloca gripper. Se enderezan charolas dañadas,CS2 ROBOT 2,,30,08/01/2016,1,JDEM,2 Segundo,SI
62,L2_CS,ROBOT 2,Gripper,tornillos capados,Se cambia tornillos capados. Se endereza charola doblada con soplete,CS2 ROBOT 2,,20,08/01/2016,1,JDEM,2 Segundo,SI
63,L2_CS,ROBOT 2,Gripper,Tornillos capados,Se reemplazan tornillos,CS2 ROBOT 2,,30,09/01/2016,1,JAM,3 Tercero,SI
64,L2_CS,STRESS RELIEF OVEN,Charolas,Se daña charola del horno,Se reemplazan multiples incidencias de la charola.,CS2 STRESS RELIEF OVEN,,50,09/01/2016,1,JAM,3 Tercero,SI
65,L2_CS,COILING FMB01,Hidráulico,Alta temperatura,Se limpia cedaso para bajar la temperatura,CS2 COILING FMB01,Agua con impurezas,32,09/01/2016,2,AIM,1 Primero,SI
66,L3_ITW,CORTADOR,Riel,Acomodar riel de cortadora,Eslabón dañado. Se recorren barrenos y se elimina eslabón dañado,ITW3 CORTADOR,Operación,30,09/01/2016,2,AIM,1 Primero,NO
67,L1_CS,STRESS RELIEF OVEN,Conveyor,Charola de conveyor dañada,Se endereza y se reinstala tornillo faltante,CS1 STRESS RELIEF OVEN,,20,09/01/2016,2,AIM,1 Primero,SI
68,L1_DL,DEFECTOMAT,Encoder,Falla encoder,Se recortan cables por estar con falso. Se acomodan,DL DEFECTOMAT,,10,09/01/2016,2,AIM,1 Primero,SI
69,L2_CS,STRESS RELIEF OVEN,Conveyor,Charola dañada genera colisión de robot,Se corta charola dañada y se pone una nueva. Se corta resorte atorado,CS2 STRESS RELIEF OVEN,,28,09/01/2016,2,AIM,1 Primero,SI
70,L2_CS,ROBOT 2,Gripper,Se cae gripper,Se instala gripper y se reaprieta sujetador por estar flojo,CS2 ROBOT 2,sujetador flojo,12,09/01/2016,2,AIM,1 Primero,SI
71,L1_DL,DECOILER,Decoiler,Decoiler fuera de posición,"Se drena Decoiler durante 40 minutos para sacar el agua, se ajusta sensor reflectivo para posicionar la mesa.",DL DECOILER,Agua en fosa de Decoiler,260,11/01/2016,2,JAM,3 Tercero,SI
72,L2_CS,HOT SET,Conveyor,No avanza conveyor,Se reemplaza sensor en malas condiciones.,CS2 HOT SET,"Los sensores del robot que ajustan las dimensiones entre grippers, no estaban alineados para detectar el fin de carrera",100,11/01/2016,2,JAM,3 Tercero,SI
73,LT1,LOAD TEST,Drive Unidad Comprobación,Giro incorrecto de la unidad de comprobación,Se ajustan parametros.,LT1 LOAD TEST,,20,11/01/2016,2,JAM,3 Tercero,SI
74,L2_CS,STRESS RELIEF OVEN,Barrera Fotoelectrica,Barreras del horno ocupadas,"Se ajustan barreras, multiples incidencias",CS2 STRESS RELIEF OVEN,,30,11/01/2016,2,JAM,3 Tercero,SI
75,L2_CS,STRESS RELIEF OVEN,Cadena,Se sale de posición cadena,Se tensa la cadena del horno.,CS2 STRESS RELIEF OVEN,,70,11/01/2016,2,JAM,3 Tercero,SI
76,L2_CS,HOT SET,Pisador,no detecta posición ,Se cambia pisador por tener el embolo dañado.,CS2 HOT SET,,59,11/01/2016,2,JAM,3 Tercero,SI
77,L1_PINTURA,HORNO SECADO,Motor,Se daña motor por correr en dos fases,"Planta 1 tenia el fusible tipo botella de 6A, motor se instala y queda funcionando",L1_PINTURA HORNO SECADO,,120,11/01/2016,2,JAM,3 Tercero,SI
78,L1_CS,COOLING TANK,Nivel de agua,Falta agua al tanque,Se agrega 35% agua y se recorta filtro,CS1 COOLING TANK,"Operador no corta filtro, no hay válvula para llenar automáticamente",35,11/01/2016,2,AIM,1 Primero,NO
79,L2_CS,HOT SET,Posicionador,Contrasoporte no llega a posiición,Se cambia pistón de estación de elevación y base de posicionador,CS2 HOT SET,Los rodillos subían chuecos provocando que la placa no llegara a posición,120,11/01/2016,2,AIM,1 Primero,SI
80,LT2,LOAD TEST,Empujadores,No funciona un pistón de rechazo,Se scan tornillos capados y se instalan nuevos para que se muevan el soporte del pistón con la paleta de rechazo,LT2 LOAD TEST,,22,11/01/2016,2,AIM,1 Primero,SI
81,L1_CS,COILING FMB12,Hidráulico,Falta aceite DTE25,Se agregan a  la FMB1 20 lts y FMB12 28 lts,CS1 COILING FMB12,,55,11/01/2016,2,AIM,1 Primero,NO
82,L2_CS,STRESS RELIEF OVEN,Conveyor,Charola dañada,Se cambia charola dañada.,CS2 STRESS RELIEF OVEN,,30,11/01/2016,2,AIM,1 Primero,SI
83,L2_CS,STRESS RELIEF OVEN,Conveyor,Charola dañada,Se corrigen cortinas y se endereza charola,CS2 STRESS RELIEF OVEN,,17,11/01/2016,2,AIM,1 Primero,SI
84,L2_CS,HOT SET,Conveyor,Leva no en posición,Se cambia tornillo de grupo de resortes,CS2 HOT SET,,25,11/01/2016,2,AIM,1 Primero,SI
85,L1_DL,GRINDING,Grinders,Se quedan prendidas,Se resetean tableros eléctricos,DL GRINDING,,10,11/01/2016,2,AIM,1 Primero,SI
86,L3_ITW,WINDER,Guarda,Aumentar altura de guarda,Se sube 2 pasos el pistón,ITW3 WINDER,,30,11/01/2016,2,AIM,1 Primero,SI
87,L2_CS,STRESS RELIEF OVEN,Charolas,Charola doblada,Se endereza charola,CS2 STRESS RELIEF OVEN,,25,11/01/2016,2,JDEM,2 Segundo,SI
88,L2_ITW,WINDER,Stopper,Stopper no detecta posición de cerrado,Se ajusta sensor magnetico de stopper,ITW2 WINDER,,20,12/01/2016,2,JAM,3 Tercero,SI
89,L1_CS,STRESS RELIEF OVEN,Charolas,Charolas dobladas,Se cambian charolas dobladas ,CS1 STRESS RELIEF OVEN,,40,12/01/2016,2,JAM,3 Tercero,NO
90,L1_CS,SHOT PEENER,Elevador de Cangilones,Falla de elevador de cangilones,Se saca granalla nueva de los elevadores por no tener torque suficiente para levantar la granalla.,CS1 SHOT PEENER,Producción rellena equipo con maquina detenida,60,12/01/2016,2,JAM,3 Tercero,NO
91,L2_CS,HOT SET,Conveyor,Se atoran resortes en platos,Se desatoran resortes en diametros cerrados. NATM por error de producción,CS2 HOT SET,Diametros cerrados,25,12/01/2016,2,JAM,3 Tercero,NO
92,L2_CS,ROBOT 3,Gripper,Se capa gripper por colision,Se reemplazan tornillos capados,CS2 ROBOT 3,,20,12/01/2016,2,JAM,3 Tercero,SI
93,L1_CS,SHOT PEENER,Dispositivo de carga,Dedo flojo en la entrada. Exceso de material en cangilones,se isntalan tornillos faltantes en soporte de pistón y se quito guarda para liberar peener,CS1 SHOT PEENER,,36,12/01/2016,2,AIM,1 Primero,SI
94,L1_CS,STRESS RELIEF OVEN,Aire de quemadores,No avanza el horno,Se encuentra apagado motor soplador. Se arranca y ajustan cortinas de salida.,CS1 STRESS RELIEF OVEN,,12,12/01/2016,2,AIM,1 Primero,SI
95,L2_CS,HOT SET,Conveyor,Leva no en posición,Se cambia tornillo ya que se encuentra dañado. Otro tornilo se ajusta la altura,CS2 HOT SET,,13,12/01/2016,2,AIM,1 Primero,SI
96,L2_CS,COILING FMB01,Computadora,Error de software de computadora,Se resetea máquina completa para eliminar error,CS2 COILING FMB01,,20,12/01/2016,2,AIM,1 Primero,SI
97,FACILITIES,EQUIPOS,Maquina de tension,No prende,Se reinicia equipo,FAC EQUIPOS,,60,12/01/2016,2,AIM,1 Primero,NO
98,L1_CS,ROBOT 2,Gripper,Colisiona robot,Se regresa robot a home y se reitran resortes caídos,CS1 ROBOT 2,,8,12/01/2016,2,AIM,1 Primero,SI
99,L2_CS,STRESS RELIEF OVEN,Barrera Fotoelectrica,"se cae gripper, fallan barreras de luz",Seajustan barreras de luz y se reaprieta pinza de robot,CS2 STRESS RELIEF OVEN,,11,12/01/2016,2,AIM,1 Primero,SI
100,L2_ITW,SISTEMA DE LUBRICACIÓN,Bomba ,Poner bomba,Se conecta y ajusta bomba,ITW2 SISTEMA DE LUBRICACIÓN,,90,12/01/2016,2,AIM,1 Primero,NO
101,L1_CS,COLDSET,Conveyor,falla leva,se ajusta tornillo y sensor,CS1 COLDSET,,7,12/01/2016,2,AIM,1 Primero,SI
102,L2_CS,COLDSET,Conveyor,Se atora resorte en el conveyor,Se corta resorte atorado y se cambia travesaño,CS2 COLDSET,,21,12/01/2016,2,AIM,1 Primero,SI
103,L1_CS,SHOT PEENER,Cadena de Arrastre,Resortes atorados,Se liberan resortes atorados,CS1 SHOT PEENER,,18,12/01/2016,2,JDEM,2 Segundo,SI
104,L2_CS,ROBOT 2,Gripper,Tornillos capados,Se cambia tornilleria y se coloca gripper,CS2 ROBOT 2,,8,12/01/2016,2,JDEM,2 Segundo,SI
105,L2_CS,STRESS RELIEF OVEN,Charolas,Charolas dobladas,Se enderezan charolas,CS2 STRESS RELIEF OVEN,,18,12/01/2016,2,JDEM,2 Segundo,SI
106,L2_CS,COILING FMB46,Drive Indramat,Falla de Hidráulico,Se restablece máquina,CS2 COILING FMB46,,22,13/01/2016,2,JAM,3 Tercero,SI
107,L2_CS,ROBOT 2,Gripper,Se cae pinza de gripper,Se ajusta el perno de la base,CS2 ROBOT 2,,6,13/01/2016,2,JAM,3 Tercero,SI
108,L2_CS,COILING FMB46,Drive Indramat,Falla de Hidráulico,Se restablece máquina,CS2 COILING FMB46,,13,13/01/2016,2,JAM,3 Tercero,SI
109,L1_ITW,CIRCOGRAPH,Sensor,No arranca motor circograph,Se hace ciclo de encendido y se reemplaza sensor capacitivo. NATM,ITW1 CIRCOGRAPH,,30,13/01/2016,2,JAM,3 Tercero,NO
110,L2_ITW,BENDING ROLLERS,Falla de velocidad,Se amarra rodamiento,Se reemplaza rodamiento por crear resistencia al motor. Problemas al insertar el servo debido a piezas desgastadas,ITW2 BENDING ROLLERS,,240,13/01/2016,2,JAM,3 Tercero,SI
111,L2_CS,STRESS RELIEF OVEN,Barrera Fotoelectrica,Están desajustadas,Se realiza el ajuste,CS2 STRESS RELIEF OVEN,,8,13/01/2016,2,AIM,1 Primero,SI
112,L2_CS,COILING FMB01,Dcoiler,Se enreda el alambre en la decoiler,La flecha y la rueda ya tienen desgaste por lo que no gira correctamente,CS2 COILING FMB01,Desgaste,13,13/01/2016,2,AIM,1 Primero,SI
113,L2_CS,COILING FMB46,Drives,Se apaga hidráulico,Se reinicia equipo,CS2 COILING FMB46,,10,13/01/2016,2,AIM,1 Primero,SI
114,L2_ITW,DRIVE ROLLERS 1,Drive de motor 2,No giran rodillos,Se revisa drive y se cambia fusible dañado,ITW2 DRIVE ROLLERS 1,,100,13/01/2016,2,JDEM,2 Segundo,SI
115,L2_CS,COILING FMB01,Rueda de decoiler,Refaccion dañada ,Se coloca refacción reparada. Se reconecta el motor debido  que no arraancaba por estar mal conectada la configuración,CS2 COILING FMB01,,30,13/01/2016,2,JDEM,2 Segundo,NO
116,L2_CS,ROBOT 6,Colisión,Colisiona Robot por resorte empalmado,"Se desatora robot, gripper sin daños",CS2 ROBOT 6,,11,14/01/2016,2,JAM,3 Tercero,SI
117,L1_CS,FINE PEENER,Dedos de Entrada,Dedos colisionan con conveyor,Se ajusta altura del pistón.,CS1 FINE PEENER,,12,14/01/2016,2,JAM,3 Tercero,SI
118,L2_CS,HOT SET,Celda de Carga,Problemas en conexiones de la celda de carga,Monitoreando condiciones para programar el cambio del celeron (?) por estar quebrado,CS2 HOT SET,,10,14/01/2016,2,JAM,3 Tercero,SI
119,L2_CS,FINE PEENER,Cadena,Fallo de control de torque de la cadena,Rodillos se abren 10 para quedar en 30.,CS2 FINE PEENER,,21,14/01/2016,2,JAM,3 Tercero,SI
120,L2_CS,COLDSET,Laser Marking Unit,Cambio de partes dañadas en localizadores,"Se cambian soportes de localizadores, tornillos y se ajustan alturas",CS2 COLDSET,,120,14/01/2016,2,JAM,3 Tercero,NO
121,L2_CS,COILING FMB01,Drives,Se apaga hidráulico,Se restablece falla de drives. Lubricación en manual,CS2 COILING FMB01,Falta lubricación,13,14/01/2016,2,AIM,1 Primero,SI
122,LT2,LOAD TEST,Kicker,Tornillos capados entre balero y pistón,Se quita pistón y se sacan tornillos capados,LT2 LOAD TEST,,10,14/01/2016,2,AIM,1 Primero,SI
123,L1_CS,HOT SET,Conveyor,Travesaño atorado en localizadores,Se desatora travesaño tabular por estar roto y se instala uno nuevo,CS1 HOT SET,,7,14/01/2016,2,AIM,1 Primero,SI
124,L2_CS,ROBOT 3,Colisión,Colisión ,Colisiona robot con resbaladilla de alivio de cabeza de robot. Se acomoda la base en posición y se da una nueva posición,CS2 ROBOT 3,No agarra bien el resorte porque el gripper topa con el rodillo,28,14/01/2016,2,AIM,1 Primero,SI
125,L2_CS,COILING FMB01,Hidráulico,Temperatura de aceite. Error de posición de cadena de horno.,Se limpia cedazo y se deja reposar máquina. Se arregla cortina activada y se resetea drive,CS2 COILING FMB01,,56,14/01/2016,2,AIM,1 Primero,SI
126,L1_CS,COILING FUL10,Hidráulico,Se apaga hidráulico,Falta señal de 24 volts del paro de emergencia. Se reinicia máquina ,CS1 COILING FUL10,,40,14/01/2016,2,AIM,1 Primero,SI
127,L1_DL,GENERAL,Grua,Ploga de control arracada,Se reconectan cables en la ploga y se vuelve a intalar,DL GENERAL,Mal uso,60,14/01/2016,2,JDEM,2 Segundo,NO
128,LT1,LOAD TEST,Pisador,Se para la maquina esperando señal. Ajuste de camaras,Se quita falso contacto en la conexion de sensor de pisador. Se ajustan camaras,LT1 LOAD TEST,,10,14/01/2016,2,JDEM,2 Segundo,SI
129,L2_CS,SHOT PEENER,Dedo,Dedo flojo provoca que resorte se suba arriba de dedo,Se reaprieta dedo,CS2 SHOT PEENER,,10,14/01/2016,2,JDEM,2 Segundo,SI
130,L2_CS,COLDSET,,Resorte atorado en conveyor,Se cortan resortes con equipo de corte,CS2 COLDSET,,10,14/01/2016,2,JDEM,2 Segundo,SI
131,L2_CS,HOT SET,Travesaño de conveyor.,Grippers robot 3,"Se daña travesaño de conveyor.
Se ce gripper de robot 3",CS2 HOT SET,,25,14/01/2016,2,JDEM,2 Segundo,SI
132,L2_CS,ROBOT 2,Gripper,Se cae gripper ,Se cambia tornilleria capada del robot,CS2 ROBOT 2,,7,14/01/2016,2,JDEM,2 Segundo,SI
133,L2_CS,COLDSET,Conveyor,Leva no en posición,Se desmontan posicionadores y se repara tornillo,CS2 COLDSET,,35,15/01/2016,2,JAM,3 Tercero,SI
134,L2_CS,COILING FMB46,Hidráulico,Falla Hidraulico,Se resetea hidraúlico y devanadera,CS2 COILING FMB46,,40,15/01/2016,2,JAM,3 Tercero,SI
135,L2_CS,ROBOT 2,Gripper,Se cae Gripper,Se reemplazan tornillos,CS2 ROBOT 2,,21,15/01/2016,2,JAM,3 Tercero,SI
136,L1_ITW,DISC SAW,Grinder,Grinder no llega a home,Se resetea drive,ITW1 DISC SAW,,10,15/01/2016,2,JAM,3 Tercero,NO
137,L1_DL,GENERAL,Control de Arrastre,Falla del control de arrastre,Se recorta cable y se reconecta a control,DL GENERAL,,35,15/01/2016,2,JAM,3 Tercero,SI
